Datetime,^GSPC
2024-11-01 17:59:00+00:00,5734.43017578125
2024-11-01 18:00:00+00:00,5734.6201171875
2024-11-01 18:01:00+00:00,5738.02978515625
2024-11-01 18:02:00+00:00,5735.68017578125
2024-11-01 18:03:00+00:00,5736.39013671875
2024-11-01 18:04:00+00:00,5737.81982421875
2024-11-01 18:05:00+00:00,5737.85986328125
2024-11-01 18:06:00+00:00,5737.7998046875
2024-11-01 18:07:00+00:00,5734.35009765625
2024-11-01 18:08:00+00:00,5732.10986328125
2024-11-01 18:09:00+00:00,5731.8798828125
2024-11-01 18:10:00+00:00,5730.31005859375
2024-11-01 18:11:00+00:00,5730.27001953125
2024-11-01 18:12:00+00:00,5730.990234375
2024-11-01 18:13:00+00:00,5730.85986328125
2024-11-01 18:14:00+00:00,5731.93994140625
2024-11-01 18:15:00+00:00,5731.33984375
2024-11-01 18:16:00+00:00,5730.39013671875
2024-11-01 18:17:00+00:00,5732.9501953125
2024-11-01 18:18:00+00:00,5734.85009765625
2024-11-01 18:19:00+00:00,5731.68017578125
2024-11-01 18:20:00+00:00,5730.66015625
2024-11-01 18:21:00+00:00,5732.93017578125
2024-11-01 18:22:00+00:00,5734.16015625
2024-11-01 18:23:00+00:00,5736.490234375
2024-11-01 18:24:00+00:00,5738.4599609375
2024-11-01 18:25:00+00:00,5737.0
2024-11-01 18:26:00+00:00,5737.22998046875
2024-11-01 18:27:00+00:00,5737.14013671875
2024-11-01 18:28:00+00:00,5738.08984375
2024-11-01 18:29:00+00:00,5736.85009765625
2024-11-01 18:30:00+00:00,5735.009765625
2024-11-01 18:31:00+00:00,5736.22998046875
2024-11-01 18:32:00+00:00,5737.830078125
2024-11-01 18:33:00+00:00,5737.60986328125
2024-11-01 18:34:00+00:00,5737.5498046875
2024-11-01 18:35:00+00:00,5737.97021484375
2024-11-01 18:36:00+00:00,5738.02978515625
2024-11-01 18:37:00+00:00,5737.7998046875
2024-11-01 18:38:00+00:00,5736.97021484375
2024-11-01 18:39:00+00:00,5738.39013671875
2024-11-01 18:40:00+00:00,5738.72998046875
2024-11-01 18:41:00+00:00,5737.77001953125
2024-11-01 18:42:00+00:00,5736.4501953125
2024-11-01 18:43:00+00:00,5737.35986328125
2024-11-01 18:44:00+00:00,5738.64013671875
2024-11-01 18:45:00+00:00,5740.509765625
2024-11-01 18:46:00+00:00,5739.080078125
2024-11-01 18:47:00+00:00,5739.0498046875
2024-11-01 18:48:00+00:00,5737.9599609375
2024-11-01 18:49:00+00:00,5738.580078125
2024-11-01 18:50:00+00:00,5739.93017578125
2024-11-01 18:51:00+00:00,5740.06982421875
2024-11-01 18:52:00+00:00,5740.10009765625
2024-11-01 18:53:00+00:00,5739.33984375
2024-11-01 18:54:00+00:00,5737.7900390625
2024-11-01 18:55:00+00:00,5738.0400390625
2024-11-01 18:56:00+00:00,5738.18017578125
2024-11-01 18:57:00+00:00,5738.72021484375
2024-11-01 18:58:00+00:00,5739.72998046875
2024-11-01 18:59:00+00:00,5739.18017578125
2024-11-01 19:00:00+00:00,5737.7099609375
2024-11-01 19:01:00+00:00,5738.93994140625
2024-11-01 19:02:00+00:00,5737.89990234375
2024-11-01 19:03:00+00:00,5737.509765625
2024-11-01 19:04:00+00:00,5738.93017578125
2024-11-01 19:05:00+00:00,5738.7900390625
2024-11-01 19:06:00+00:00,5742.56982421875
2024-11-01 19:07:00+00:00,5742.06982421875
2024-11-01 19:08:00+00:00,5743.93017578125
2024-11-01 19:09:00+00:00,5745.56005859375
2024-11-01 19:10:00+00:00,5745.56005859375
